issue_id,generated SCD,possibility_toxic,Why the Model Failed (Categorized),Additional Reason (Categorized)
27120442,"The GitHub conversation begins with thekiur reporting a critical security issue triggered by a vulnerability scanner, causing unexpected behavior in their application. mk-pmb provides an initial technical insight, suggesting a potential cause related to parameter types. sidorares requests code samples for further clarification. thekiur confirms the issue is due to passing objects from the express bodyParser middleware to the query call, highlighting the severity and unexpected nature of the problem. dougwilson clarifies that the issue is not with the library's escaping mechanism but with the integration of express and the library, emphasizing the need for input validation. mk-pmb expresses a differing opinion on the purpose of prepared statements, leading to a technical disagreement. dougwilson responds with a detailed explanation of the library's behavior and provides a solution, referencing documentation. mk-pmb acknowledges the explanation but notes a potential pitfall for users, suggesting an alternative approach. The conversation reflects a mix of technical discussion, clarification, and resolution, with moments of tension primarily around differing technical perspectives.",0.3,Missing or reducing how serious a tone or comment is,
93644527,"The GitHub conversation revolves around a feature request to filter and automatically exclude certain file types during torrent downloads. The discussion is generally supportive, with multiple participants expressing agreement and adding their perspectives on the utility and security benefits of such a feature. Tension arises when some users express frustration over the long delay since the initial request in 2015 and the perceived lack of prioritization by the developers. The social orientation in these moments leans towards Assured-Dominant, with some participants displaying Bitter Frustration and Impatience. Linguistic features such as questioning, reasoning, and emphasis terms highlight the urgency and importance of the feature to the users. Overall, the conversation maintains a collaborative tone, with users contributing ideas and temporary solutions while urging the developers to implement the requested feature.",0.3,Missing or reducing how serious a tone or comment is,SCD is too short to capture all the long conversation's tones
124545273,"The GitHub conversation begins with emiglobetrotting expressing frustration over installation issues with Composer, detailing the steps taken and the errors encountered. The primary trigger of tension is the 'Failed use of code/tool or error messages'. Staabm responds with a brief technical suggestion, while alcohol provides a more detailed explanation, emphasizing that the issue is related to PHP configuration rather than Composer itself. Alcohol's response carries a tone of assured-dominance, indicating a clear understanding of the problem and decisively closing the issue. The overall sentiment from emiglobetrotting is one of bitter frustration, while the responses from staabm and alcohol are more neutral and solution-focused.",0.4,Subtle Tone,Social Orientation tags were inaccurate
230340780,"The GitHub conversation begins with AndreSteenveld detailing a solution for using NVM globally to manage node versions across multiple users and non-interactive sessions. ljharb responds by emphasizing that NVM is designed for per-user, per-shell-session use and advises against a global setup, suggesting alternative tools like `n`. AndreSteenveld acknowledges this and seeks further recommendations. ljharb reiterates the use of `n` for system-wide management and suggests a per-user installation for cronjobs. rtwk supports ljharb's advice, sharing a similar experience. Spown expresses frustration with NVM's limitations in multiuser environments, highlighting practical challenges and referencing NPM's documentation. ljharb concludes by reinforcing the need for a single user to run `node` in multiuser scenarios. The conversation reflects a technical disagreement and some frustration, with ljharb maintaining a dominant and assured tone throughout.",0.3,Subtle Tone,
245325788,"The GitHub conversation revolves around the inconsistency in naming conventions for the Jinja project across various platforms. The discussion is initiated by jeffwidman, who points out the discrepancies and suggests a unified naming approach. davidism expresses a preference for dropping the ""2"" from the name, while mitsuhiko and ThiefMaster agree but propose aligning the change with the 3.0 release. The conversation includes technical disagreements, particularly around the timing and potential issues of renaming, with mitsuhiko expressing concerns about backward compatibility and the practicality of the change. The tone of the conversation is generally collaborative, though there are moments of impatience and frustration, especially from mitsuhiko, who is wary of the implications of the proposed changes. Overall, the participants aim to find a consensus on the best approach to streamline the naming conventions while considering the technical challenges involved.",0.2,Missing or reducing how serious a tone or comment is,
312953330,"The GitHub conversation begins with jockm expressing frustration over the readability of orange text against a black background, citing accessibility concerns. Tofrnr supports this view, suggesting a more readable color. Lmihalkovic engages constructively, asking for feedback on a new color scheme. Jockm provides detailed feedback, emphasizing the difficulty of reading certain colors due to human eye physiology and accessibility issues. Lmihalkovic responds positively, thanking jockm and sharing a link to the updated color scheme. The conversation maintains a collaborative and solution-oriented tone throughout, with participants showing mutual respect and a shared goal of improving accessibility.",0,Missing or reducing how serious a tone or comment is,Missing/Lack of context (citing a related issue; deleted comment).
528942466,"The GitHub conversation begins with HollowedEmpire expressing appreciation for Chocolate Doom and suggesting an enhancement to adjust static engine limits. Chungy responds by suggesting an alternative, Crispy Doom, which HollowedEmpire rejects due to its extensive changes. HollowedEmpire questions why the proposed enhancement is considered beyond the project's scope, citing the project's philosophy. Kroc clarifies the importance of maintaining exact vanilla behavior for testing purposes. HollowedEmpire counters by pointing out existing optional features that deviate from 1993 compatibility and reiterates that the proposed change would be optional, preserving the original behavior when not specified. The conversation reflects a technical disagreement with a tone of polite persistence and reasoning from HollowedEmpire, and a firm, explanatory stance from Chungy and Kroc.",0.2,Missing or reducing how serious a tone or comment is,Social Orientation tags were inaccurate
549848681,"The GitHub conversation begins with mg979 reporting an issue with the `:Gwrite` command in Windows gVim when dealing with files in symlinked directories. tpope requests more specific information, leading to a brief communication breakdown as mg979 initially provides incomplete details. After clarifying the symlink and repository paths, mg979 acknowledges the complexity of Windows paths and expresses understanding if the issue is not prioritized. tpope explains the technical limitations and suggests potential solutions, emphasizing the need for a more robust fix rather than a quick workaround. mg979 conducts further testing, identifying differences in Git behavior between Windows and UNIX-like systems, and proposes a specific code change to address the issue. The conversation maintains a professional tone, with both participants focused on resolving the technical problem despite minor frustrations.",0.1,Missing or reducing how serious a tone or comment is,Missing/Lack of context (citing a related issue; deleted comment).
556620312,"The GitHub conversation begins with SampsonCrowley reporting an issue with a detailed error message and expected behavior. The trigger of tension is a 'Failed use of code/tool or error messages'. Eileencodes responds with a technical explanation and a correction to the documentation, indicating a 'Technical Disagreement'. The social orientation of Eileencodes is 'Assured-Dominant', as they provide a solution and address the documentation error. The tone of SampsonCrowley shifts to 'Bitter Frustration' and 'Impatience', evident from their questioning and emphasis on the standard use of the 'lib' folder. Eileencodes maintains a calm and informative tone, using reasoning and communication words to clarify the situation and address the frustration. The conversation concludes with a mix of technical clarification and a reminder of the collaborative nature of the community.",0.3,Uncivil comment is followed by a civil comment,Missing/Lack of context (citing a related issue; deleted comment).
631364219,"The GitHub conversation begins with Yara-smurf suggesting a change to ERCC for better balancing, which is met with technical feedback from PunkPun, who provides visual comparisons and highlights an existing issue (#18232). Pchote requests additional evidence, prompting PunkPun to share more detailed visual examples of the harvester clipping issue. The conversation reveals a technical disagreement, with pchote expressing a preference for a new design over modifying the existing one. The tone throughout the discussion is technical and focused, with some underlying tension as participants navigate differing opinions on the best approach to the problem.",0.3,Missing/Lack of context (citing a related issue; deleted comment).,
