issue_id,summary,possibility_toxic
245325788,"""The conversation starts with jeffwidman discussing inconsistent naming conventions for the Jinja project, proposing a switch to either 'Jinja' or 'Jinja2' for consistency. davidism suggests dropping the '2' from the name and aligning it with the 3.0 release. The discussion remains neutral until mitsuhiko expresses concerns about backwards incompatibility and potential issues with parallel installations of Python libraries, leading to a more cautious tone. The conversation ends with mitsuhiko retracting their initial support for the rename, citing concerns that outweigh any benefits.""",0.17
421471669,"""Demetrio92 initially reported an issue where adding 1160 minutes to a POSIXct object resulted in NA due to daylight saving time. DavisVaughan explained that this is because lubridate's Period objects work differently than Duration objects, and suggested using Durations instead. Demetrio92 agreed but noted that the difference between Period and Duration can be confusing and proposed deprecating usage of minutes() as it involves autocasting under the hood. Pitakakariki pointed out a scenario where the time-lords decide to do a leap second at the same time as a daylight savings change, which would break the reversibility rule in date-time arithmetic. DavisVaughan explained that the reversibility rule is not the best idea for date-time arithmetic and should not be relied upon.""",0.14
1087972186,"""The conversation starts with tkp206093 reporting a game crash issue and providing system information. doitsujin responds by asking for clarification on an error message, and tkp206093 explains the issue in more detail. The conversation remains neutral until K0bin intervenes, politely asking tkp206093 to refrain from turning the issue into a discussion of an entire NexusMods thread. doitsujin then chimes in, explaining that they need an apitrace to diagnose the issue and mentioning that the game is doing something broken that cannot work properly. The tone remains neutral and technical until Oschowa shares a trace file, after which tkp206093 makes a comment about a possible memory leak with Vulkan on Nvidia cards.""",0.03
1530248637,"""The conversation starts with skull-squadron providing a solution and making a humorous comment about Microsoft Github. However, the tone shifts when hsbt questions the relevance of an issue link, leading to a clarification from skull-squadron. The conversation then becomes more collaborative as deivid-rodriguez acknowledges the fix and thanks skull-squadron for their work, despite some initial uncertainty. Throughout the conversation, skull-squadron's tone remains lighthearted and self-deprecating, while the other participants respond in a neutral or appreciative manner.""",0.05
1291899006,"""RichardNeill initiates a discussion about PHP 8's new warning for undefined array keys, suggesting a configuration option to revert to PHP 7's behavior. Damianwadley responds with a neutral tone, explaining the reasoning behind the change and offering an alternative solution using the `@` operator. RichardNeill expresses frustration and concern about the impact on his codebase, feeling that the change goes against PHP's tradition of backward compatibility. KapitanOczywisty offers a helpful suggestion for filtering the warning, which RichardNeill appreciates and builds upon. The conversation remains civil, with participants engaging in a constructive discussion to find a solution.""",0.03
1465034831,"""JoltSystems reports an issue with game difficulty, describing it as unplayable. Zispah responds neutrally, offering a possible explanation and suggesting that JoltSystems' approach might be flawed. JoltSystems thanks Zispah but expresses continued frustration, indicating that they need to test the issue further to confirm it's not an isolated incident. The conversation remains civil, with no significant tonal shifts or personal attacks.""",0.05
951429255,"""The conversation starts with hmsjy2017 requesting support for ARM architecture on RustDesk, which rustdesk responds to with a joke. The tone shifts as hmsjy2017 provides helpful information and suggestions, but rustdesk becomes defensive when questioned about supporting arm64. Heap-Hop shares their failed attempt to build RustDesk on Raspberry Pi, citing issues with sciter-sdk. The conversation continues with various contributors offering suggestions and assistance, including dimaguy and wwjabc, who successfully compiles RustDesk on armhf and aarch64. However, concerns are raised about the security of using Ubuntu's rootfs and downloading libraries from untrusted sources. Ultimately, rustdesk is persuaded to reconsider their approach, and the conversation ends with a more collaborative tone.""",0.13
914128991,"""The conversation starts with morsyfadl reporting an issue with black bars at the bottom of FMVs in God of War on PCSX2 versions 1.6.0 and 1.7.0. F0bes responds by pointing out that the issue template was not followed, but morsyfadl explains that they tried their best to fill it out correctly. xuru-thor chimes in, sharing a similar experience with the same game on version 1.5.0-dev-2143-g1d983a681. The conversation remains neutral and focused on troubleshooting until refractionpcsx2 suggests checking the Zoom setting, which morsyfadl had already done. The tone shifts slightly when ghost starts complaining about the issue still being present in the dev build of 1.7.0 and refractionpcsx2 responds by explaining that the wiki is user-maintained and not always up-to-date. The conversation ends with a discussion about potential fixes, including adding a GameDB hack or removing the NTSC Saturation modification.""",0.14
436303024,"""The conversation starts with ara4n suggesting a change from 'kick' to a less aggressive term, which is met with resistance from BurnyBoi who argues that 'kick' is not inherently aggressive. jryans supports ara4n's suggestion, but BurnyBoi continues to push back, leading to a slight escalation in tone as he emphasizes the importance of familiarity and efficiency in keeping the '/kick' command. The conversation remains civil but tense, with neither side willing to concede.""",0.42
1252756496,"""Contributor SkybuckFlying initiates a conversation about the SDL project URL, expressing frustration over potential confusion between versions. They share a personal anecdote about wasting 60 minutes due to the issue and makes a general complaint about people's versioning skills. slime73 responds neutrally, explaining the reasoning behind the current URL and pointing out relevant information in the readme. SkybuckFlying persists, emphasizing the importance of clarity in the DLL name, but the conversation remains relatively calm and focused on the technical aspect.""",0.14
