title,speaker,issue_id,comment_sequence,comment_unique_id,toxic,text,is_first_comment,tbdf
"reading the variable ""latest_release"" before ""deploy"" task happens makes capistrano BREAK",knocte,13258430,1,13258430,0,"If you set up some task this way:

before 'deploy', 'some_task', 

And in some_task you simply read the ""latest_release"" variable (in a puts line for instance), then:

Current results:
a) If it's the first deploy ever in capistrano (the www folder doesn't exist), capistrano breaks completely, it cannot deploy.
b) If it's not the first deploy, then it will make capistrano change its behaviour with regards to the ""current"" symlink, because it will point to the previous release instead of the last one (after the deploy happened).

Expected results:
a) It should work.
b) It should point current to the latest release.

This is a big fuckup IMHO.
",True,Vulgarity
"reading the variable ""latest_release"" before ""deploy"" task happens makes capistrano BREAK",leehambley,13258430,2,16461106,0,"> This is a big fuckup IMHO.

Profanity aside, you may have a point. I'll take a patch.
",False,0
"reading the variable ""latest_release"" before ""deploy"" task happens makes capistrano BREAK",knocte,13258430,3,16461191,0,"Why do you close the issue?
",False,0
"reading the variable ""latest_release"" before ""deploy"" task happens makes capistrano BREAK",leehambley,13258430,4,16461276,1,"Because you don't offer a patch, and profanity really pisses me off.
",False,Bitter frustration
Security issue with param escaping?,thekiur,27120442,1,27120442,0,"Hi, im running node-mysql latest on node-latest.
Somebody using the acunetix vulnerability scanner has triggered this error:
UNKNOWN COLUMN '$acunetix' IN WHERE CLAUSE.
The query: SELECT id, email FROM accounts WHERE username = ?

How is this possible? Its very dangerous to our application, please respond quickly.
",True,Impatience
Security issue with param escaping?,mk-pmb,27120442,2,34424093,0,"The problem seems to be about params that are not strings. Although I'll continue to sanitize all my user inputs (to avoid username impersonation attacks like `admіn` posing as `admin`), I'd expect the query engine to convert any param to a string if it should have been one in the first place. If it already was, `String(param)` should be of low cost.
",False,0
Security issue with param escaping?,sidorares,27120442,3,34425569,0,"@thekiur @mk-pmb can you post code samples?
",False,0
Security issue with param escaping?,thekiur,27120442,4,34425679,0,"We can confirm that the problem is caused by passing objects to the query call.
The objects come from the express bodyParser middleware.
We were simply passing req.body.username as the parameter for that query.
The acunetic vulnerability tester injected an object there.
We are not sure on the severity of this issue, but its unexpected to say atleast.
As we experienced, this can crash a live application in production mode if you dont expect any db errors.

There is no code to show: its as simple as passing a req.body.something to the .query call of node-mysql when using express with the bodyparser middleware. Running the vulnerability scanner against https://gist.github.com/ssafejava/9a2d77704712a8769322 causes the exception to be thrown.
",False,0
Security issue with param escaping?,dougwilson,27120442,5,34441093,0,"This is not an issue with escaping with this library; this library is properly escaping all values and column names. The security issue is just with the way you are combining express and this library, such that you were expecting to get a string from express, so you were only expecting the `?` to expand according to string rules.

`req.body` properties can be anything with `bodyParser` and as such you need to at least verify what you are using is a string before passing to your query.
",False,0
Security issue with param escaping?,mk-pmb,27120442,6,34467169,0,"I consider prepared statements as intended to mitigate lack of input validation in the params in general. Therefor, limiting it to the case where input has already been validated as being a string, in my opinion misses the point.
Yours, MK
",False,0
